05/15/26-12:36:16.596623 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,24712,Misc activity,3,alert,Allow
05/15/26-12:37:22.083175 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.100,,31659,Misc activity,3,alert,Allow
05/15/26-12:37:23.094879 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.100,,31855,Misc activity,3,alert,Allow
05/15/26-12:37:24.117431 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.100,,31931,Misc activity,3,alert,Allow
05/15/26-12:37:25.142136 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.100,,32083,Misc activity,3,alert,Allow
05/15/26-12:37:26.166145 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.100,,32227,Misc activity,3,alert,Allow
05/15/26-12:51:11.387082 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,29926,Misc activity,3,alert,Allow
05/15/26-12:51:11.387780 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,10.10.10.50,,192.168.100.100,,52609,Misc activity,3,alert,Allow
05/15/26-12:51:12.388369 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,29983,Misc activity,3,alert,Allow
05/15/26-12:51:12.389163 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,10.10.10.50,,192.168.100.100,,53106,Misc activity,3,alert,Allow
05/15/26-12:51:13.390230 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,192.168.100.100,,10.10.10.50,,30210,Misc activity,3,alert,Allow
05/15/26-12:51:13.391126 ,1,9000099,1,"BERMA-TEST Ping detectado - Confirmar Snort activo",ICMP,10.10.10.50,,192.168.100.100,,53911,Misc activity,3,alert,Allow
05/15/26-17:26:56.820166 ,1,9000002,1,"BERMA-002 Port Scan - Enumeracion red corporativa",TCP,192.168.100.100,64427,10.10.10.50,110,21023,Detection of a Network Scan,3,alert,Allow
05/15/26-17:27:09.586497 ,1,9000002,1,"BERMA-002 Port Scan - Enumeracion red corporativa",TCP,192.168.100.100,61657,10.10.10.50,135,14859,Detection of a Network Scan,3,alert,Allow
